Group Name,Curve Type,Reference,Curve Name
USD-EUR-XCCY,Discount,USD,USD-DSCON
USD-EUR-XCCY,Forward,USD-FED-FUND,USD-DSCON
USD-EUR-XCCY,Forward,USD-LIBOR-3M,USD-LIBOR3M
USD-EUR-XCCY,Discount,EUR,EUR-DSC
USD-EUR-XCCY,Forward,EUR-EURIBOR-3M,EUR-EURIBOR3M
